node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
tnewmsblues.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,1.2081424560078307e-17,-0.0,0,2,1,2
did:plc:3hmaw45pkhexf2wy5dwvlr7j,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,8.171012331917242e-17,1,0,0,2
did:plc:o7htvbjamlcv6dcr4vbdwy2c,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,6.326697140176723e-17,1,0,0,2
maxplanck.de,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,8.353396821586659e-18,-6.85795487997592e-18,0,1,1,4
did:plc:hwttpnc2pznc4uqpwblk3c64,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,1.0024076185903988e-16,1,0,0,4
canadianhammer.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,-2.4762704383680476e-18,7.897928404812087e-19,0,2,1,5
did:plc:kx375dszrbvqtu7o4xxxmojn,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-3.4051186287106626e-17,1,0,0,5
did:plc:yc54nj2zlnqrdotewpkbrauy,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,4.335941026690058e-18,1,0,0,5
voxeu.org,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,2.5526803192681743e-18,2.0277471302624602e-17,0,1,1,9
did:plc:ldf3lvbhbhdg3w7ds6wphtuw,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,3.0632163831218083e-17,1,0,0,9
gordumb.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,8.083576563186969e-18,0,1,1,11
sanders.senate.gov,1.0,0.0,0.0,0.24,0.15321731242580233,0.0,-0.0,0.9999999999999998,12,0,2,11
lumincity.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,4.7502768919972766e-18,-1.0344419685591882e-17,0,2,1,14
did:plc:u6bpr5uyeazax263qjjkzp2g,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,3.246290194912155e-17,1,0,0,14
did:plc:nx7znvoex7ev3wcxn3tipovm,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,2.4540420754845758e-17,1,0,0,14
blank.org,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-6.978114035894032e-18,2.0437663490541517e-17,0,1,1,6
did:plc:oogx5uk7egcpeavtomox43wn,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-8.373736843072836e-17,1,0,0,6
dedicto.zeroes.ca.ap.brid.gy,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,4.136844935720327e-18,1.73592486292698e-18,0,1,1,7
did:plc:uybkf2awme34ko4lfkezerad,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,4.9642139228643907e-17,1,0,0,7
davidcrespo.bsky.social,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,8.982016425911028e-19,2.625558948710502e-18,0,1,1,8
did:plc:xgsysfc6hrwpf5nna5fxmj5c,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,1.0778419711093231e-17,1,0,0,8
shoshanade.bsky.social,0.0,0.5,0.0,0.06,0.013679777946978047,0.0,-9.8626216446805e-18,-1.8655917528670268e-17,0,3,1,10
did:plc:36g54nwqllmmjyc7mbija3gn,0.08333333333333333,0.0,0.0,0.036,0.01755582057138983,0.0,-0.0,-5.0675726980556994e-17,1,0,0,10
did:plc:xinct4q525cyr2nmlwks5pod,0.08333333333333333,0.0,0.0,0.036,0.01755582057138983,0.0,-0.0,-3.143998086569518e-17,1,0,0,10
did:plc:bybhkdeow67zttcythrzu4p6,0.08333333333333333,0.0,0.0,0.036,0.01755582057138983,0.0,-0.0,-3.623575188991378e-17,1,0,0,10
seanofthesea.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-1.3629792247454495e-17,0,1,1,11
yellowstoneyoga.bsky.social,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-8.927777536731112e-18,6.396592106406711e-18,0,1,1,12
did:plc:twasya42lpacrrncfhcrbjyv,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-1.0713333044077331e-16,1,0,0,12
goodstephen.bsky.social,0.0,1.0,0.0,0.12,0.013679777946978047,0.0,1.2113885218120391e-17,3.704959625259016e-18,0,6,2,13
igorsushko.bsky.social,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,-5.3479412363416016e-18,1,0,1,13
did:plc:weypikbrwodr2fsanloqjx6s,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,7.110168082776484e-17,1,0,0,13
did:plc:6pwit4ctv4egvys3qyqmgbi6,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,-1.5450089171166736e-17,1,0,0,13
did:plc:v2cnvepyoukt3cpbzxh5sviv,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,4.034823068327277e-18,1,0,0,13
did:plc:5o6k7jvowuyaquloafzn3cfw,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,7.697943496061767e-17,1,0,0,13
did:plc:wmho6q2uiyktkam3jsvrms3s,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,1.4048714168243222e-17,1,0,0,13
athenaforall.bsky.social,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-4.3364988458270086e-19,1.1850187702527314e-18,0,1,1,0
did:plc:wl276kckbig47st6l62qcugv,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-5.20379861499241e-18,1,0,0,0
nwu.org,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,1.0435390712377906e-17,-2.2653703822426732e-17,0,1,1,1
did:plc:qvgowosfeq5igmz4dfudabzd,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,1.2522468854853485e-16,1,0,0,1
jusmom.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-1.1567471978692797e-17,0,1,1,11
joey-pererez.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,1.200505552981234e-19,0,1,1,11
noknot01.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-2.2354672286961055e-17,0,1,1,11
realitycheck.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,9.876632399589025e-18,0,1,1,11
freeairgstring.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,3.27306794007359e-17,0,1,1,11
hondo61s.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,8.333319634516877e-19,0,1,1,11
powerfromspace1.mstdn.social.ap.brid.gy,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,8.128080150997003e-19,-2.7925936098597005e-17,0,1,1,3
