community,n_users,n_posts,mean_sentiment,std_sentiment,pct_positive,pct_negative,pct_neutral,sentiment_label
1,5,5,0.0,0.0,0.0,0.0,1.0,Neutral
2,5,5,-0.011,0.3179,0.2,0.2,0.6,Neutral
3,5,5,0.2793,0.386,0.4,0.0,0.6,Positive
4,5,5,0.4325,0.3144,0.8,0.0,0.2,Positive
5,5,5,0.2343,0.2251,0.6,0.0,0.4,Positive
6,5,5,0.3038,0.5987,0.6,0.2,0.2,Positive
7,5,5,-0.0068,0.2541,0.2,0.4,0.4,Neutral
9,5,5,-0.1106,0.3854,0.2,0.6,0.2,Negative
12,5,5,-0.0813,0.6551,0.4,0.4,0.2,Negative
14,5,5,0.1941,0.2659,0.4,0.0,0.6,Positive
15,5,5,0.0545,0.4058,0.2,0.2,0.6,Positive
16,5,5,0.3631,0.4936,0.8,0.2,-0.0,Positive
18,5,5,0.2391,0.3676,0.4,0.0,0.6,Positive
19,5,5,0.2835,0.4169,0.4,0.0,0.6,Positive
20,9,10,0.1762,0.2274,0.4,0.0,0.6,Positive
21,9,10,0.0686,0.4292,0.4,0.2,0.4,Positive
23,5,5,0.0622,0.492,0.6,0.4,0.0,Positive
24,5,5,0.3598,0.2509,1.0,0.0,0.0,Positive
25,5,5,0.0,0.0,0.0,0.0,1.0,Neutral
26,5,5,0.0339,0.0467,0.4,0.0,0.6,Neutral
29,9,10,0.0504,0.1857,0.4,0.2,0.4,Positive
30,5,5,0.0829,0.4967,0.2,0.2,0.6,Positive
31,5,5,-0.2524,0.4945,0.2,0.6,0.2,Negative
32,5,5,0.1798,0.2463,0.4,0.0,0.6,Positive
33,5,5,-0.026,0.5035,0.4,0.2,0.4,Neutral
34,5,5,0.0563,0.4892,0.2,0.2,0.6,Positive
35,8,10,-0.0022,0.4358,0.4,0.2,0.4,Neutral
36,5,5,-0.0184,0.1941,0.2,0.2,0.6,Neutral
37,5,5,0.2595,0.5459,0.6,0.2,0.2,Positive
39,5,5,0.2355,0.4861,0.4,0.2,0.4,Positive
40,5,5,0.1421,0.462,0.4,0.2,0.4,Positive
42,5,5,0.224,0.6403,0.6,0.4,0.0,Positive
44,5,5,0.0881,0.197,0.2,0.0,0.8,Positive
45,5,5,0.2326,0.4707,0.4,0.2,0.4,Positive
46,5,5,0.1613,0.2336,0.4,0.0,0.6,Positive
47,5,5,-0.011,0.3179,0.2,0.2,0.6,Neutral
49,5,5,0.0348,0.342,0.2,0.2,0.6,Neutral
52,10,10,0.2499,0.4248,0.5,0.2,0.3,Positive
54,5,5,0.1711,0.3826,0.2,0.0,0.8,Positive
55,5,5,0.4606,0.2874,0.8,0.0,0.2,Positive
56,5,5,0.3308,0.453,0.4,0.0,0.6,Positive
57,5,5,0.1599,0.4618,0.4,0.2,0.4,Positive
59,5,5,0.1305,0.2917,0.2,0.0,0.8,Positive
63,9,10,0.03,0.3413,0.2,0.1,0.7,Neutral
65,8,8,0.3209,0.3686,0.5,0.0,0.5,Positive
67,5,5,0.356,0.3948,0.6,0.0,0.4,Positive
68,5,5,0.3149,0.4313,0.4,0.0,0.6,Positive
69,5,5,-0.0447,0.1,0.0,0.2,0.8,Neutral
71,5,5,-0.0752,0.1193,0.0,0.4,0.6,Negative
72,5,5,0.1732,0.5049,0.4,0.2,0.4,Positive
74,5,5,0.053,0.4593,0.2,0.4,0.4,Positive
75,5,5,0.6962,0.3963,0.8,0.0,0.2,Positive
76,5,5,0.3564,0.488,0.4,0.0,0.6,Positive
78,5,5,0.0115,0.5158,0.2,0.2,0.6,Neutral
80,5,5,0.348,0.3309,0.6,0.0,0.4,Positive
81,5,5,0.0988,0.2209,0.2,0.0,0.8,Positive
84,5,5,0.2284,0.5033,0.6,0.2,0.2,Positive
86,10,12,0.0358,0.5382,0.333,0.5,0.167,Neutral
87,8,9,0.2589,0.4336,0.556,0.111,0.333,Positive
88,5,5,0.1621,0.5638,0.4,0.2,0.4,Positive
91,5,5,0.1775,0.4292,0.4,0.2,0.4,Positive
93,5,5,0.0163,0.2702,0.2,0.2,0.6,Neutral
98,5,5,0.3672,0.3875,0.6,0.0,0.4,Positive
101,5,5,0.3595,0.4925,0.4,0.0,0.6,Positive
102,5,5,0.4384,0.4446,0.6,0.0,0.4,Positive
118,5,5,0.2693,0.4245,0.6,0.2,0.2,Positive
122,5,5,0.2906,0.452,0.4,0.2,0.4,Positive
125,5,5,0.1706,0.327,0.4,0.0,0.6,Positive
127,5,5,0.4261,0.2689,0.8,0.0,0.2,Positive
128,5,5,0.1127,0.1642,0.4,0.0,0.6,Positive
134,5,5,0.1658,0.3802,0.4,0.2,0.4,Positive
135,5,5,0.3406,0.1921,0.8,0.0,0.2,Positive
139,5,5,-0.286,0.3983,0.0,0.4,0.6,Negative
141,5,5,0.0,0.0,0.0,0.0,1.0,Neutral
147,5,8,0.0229,0.4726,0.375,0.375,0.25,Neutral
149,5,5,0.0,0.0,0.0,0.0,1.0,Neutral
152,5,5,0.1898,0.493,0.6,0.4,0.0,Positive
155,5,5,-0.1362,0.3045,0.0,0.2,0.8,Negative
156,5,5,0.4967,0.2416,1.0,0.0,0.0,Positive
161,5,5,-0.289,0.553,0.2,0.8,0.0,Negative
164,5,5,-0.0592,0.1324,0.0,0.2,0.8,Negative
176,5,5,0.1174,0.5229,0.4,0.2,0.4,Positive
179,5,6,0.0537,0.476,0.5,0.167,0.333,Positive
180,174,283,0.0822,0.4449,0.396,0.265,0.339,Positive
181,5,5,-0.038,0.4031,0.4,0.4,0.2,Neutral
184,8,10,-0.0103,0.5211,0.4,0.3,0.3,Neutral
185,69,104,0.1166,0.4995,0.442,0.308,0.25,Positive
186,5,6,0.3057,0.6243,0.667,0.167,0.167,Positive
187,5,5,0.3333,0.633,0.6,0.2,0.2,Positive
188,14,17,0.204,0.4436,0.412,0.176,0.412,Positive
189,5,5,0.0928,0.5078,0.4,0.4,0.2,Positive
190,67,97,0.0446,0.4693,0.423,0.33,0.247,Neutral
191,35,49,0.0066,0.5365,0.388,0.286,0.327,Neutral
192,5,5,0.0889,0.7165,0.4,0.4,0.2,Positive
193,24,29,0.0234,0.4801,0.379,0.345,0.276,Neutral
194,67,115,0.1534,0.4564,0.461,0.209,0.33,Positive
195,5,5,-0.1488,0.4099,0.2,0.4,0.4,Negative
196,5,5,-0.2862,0.6481,0.2,0.8,0.0,Negative
197,66,102,0.0642,0.486,0.373,0.324,0.304,Positive
199,5,6,-0.0596,0.6257,0.333,0.5,0.167,Negative
200,58,91,0.0114,0.4444,0.352,0.33,0.319,Neutral
201,5,5,0.3194,0.5398,0.8,0.2,-0.0,Positive
202,5,5,0.032,0.6326,0.4,0.4,0.2,Neutral
204,74,111,-0.0525,0.5579,0.387,0.396,0.216,Negative
205,65,85,0.0304,0.4209,0.388,0.365,0.247,Neutral
206,96,164,0.1718,0.4246,0.5,0.207,0.293,Positive
207,76,137,0.143,0.4329,0.474,0.212,0.314,Positive
209,5,5,-0.0899,0.2011,0.0,0.2,0.8,Negative
210,20,29,-0.01,0.5567,0.414,0.483,0.103,Neutral
212,57,101,0.1641,0.4648,0.495,0.267,0.238,Positive
213,9,10,0.2571,0.4079,0.6,0.1,0.3,Positive
214,5,5,-0.3437,0.2503,0.0,0.8,0.2,Negative
215,82,149,0.0594,0.4338,0.43,0.295,0.275,Positive
217,5,5,0.0549,0.3307,0.2,0.2,0.6,Positive
219,67,119,0.139,0.4369,0.504,0.252,0.244,Positive
222,8,12,0.3848,0.4144,0.667,0.167,0.167,Positive
225,29,49,0.0525,0.447,0.388,0.265,0.347,Positive
229,5,5,-0.161,0.5178,0.2,0.6,0.2,Negative
231,5,5,-0.0976,0.7133,0.4,0.6,0.0,Negative
236,11,15,0.1957,0.6143,0.6,0.4,0.0,Positive
237,20,27,0.0701,0.3867,0.37,0.222,0.407,Positive
241,5,5,0.1151,0.4439,0.4,0.4,0.2,Positive
243,5,5,0.0673,0.3785,0.4,0.4,0.2,Positive
245,5,5,0.1067,0.5625,0.6,0.2,0.2,Positive
249,99,157,0.0923,0.465,0.452,0.28,0.268,Positive
251,67,104,0.0515,0.4446,0.413,0.298,0.288,Positive
253,5,5,-0.213,0.6434,0.2,0.6,0.2,Negative
260,5,5,0.3444,0.4444,0.6,0.2,0.2,Positive
261,74,117,0.1145,0.4382,0.419,0.248,0.333,Positive
263,137,200,0.0903,0.484,0.45,0.29,0.26,Positive
264,95,140,0.0623,0.4582,0.414,0.3,0.286,Positive
266,70,154,0.1317,0.4234,0.455,0.24,0.305,Positive
267,5,5,-0.1343,0.1936,0.0,0.4,0.6,Negative
270,32,61,-0.0276,0.5713,0.426,0.459,0.115,Neutral
271,5,5,0.349,0.3077,0.8,0.0,0.2,Positive
272,51,74,-0.0454,0.4237,0.297,0.432,0.27,Neutral
273,12,14,0.2368,0.4912,0.357,0.143,0.5,Positive
274,5,5,0.0528,0.4854,0.4,0.2,0.4,Positive
276,5,5,0.3787,0.6992,0.6,0.2,0.2,Positive
277,5,5,0.1733,0.6142,0.6,0.4,0.0,Positive
278,5,5,-0.3295,0.3386,0.0,0.6,0.4,Negative
279,5,5,0.0426,0.3741,0.4,0.4,0.2,Neutral
280,93,156,0.0777,0.4543,0.372,0.282,0.346,Positive
281,81,137,0.1423,0.4595,0.482,0.248,0.27,Positive
282,5,5,-0.0696,0.4954,0.2,0.4,0.4,Negative
283,5,5,-0.2875,0.4115,0.0,0.4,0.6,Negative
284,7,8,0.3106,0.4105,0.5,0.0,0.5,Positive
285,5,5,-0.052,0.3696,0.4,0.2,0.4,Negative
286,5,5,0.0376,0.5767,0.2,0.2,0.6,Neutral
287,5,5,-0.0639,0.3787,0.2,0.2,0.6,Negative
288,5,5,0.1124,0.6074,0.6,0.4,0.0,Positive
289,5,5,-0.1013,0.3925,0.2,0.4,0.4,Negative
290,5,5,0.1491,0.4371,0.2,0.2,0.6,Positive
294,5,5,0.1883,0.629,0.6,0.2,0.2,Positive
296,5,5,0.1283,0.2137,0.4,0.0,0.6,Positive
298,5,5,0.4143,0.4383,0.8,0.2,-0.0,Positive
299,5,5,0.0246,0.5678,0.4,0.2,0.4,Neutral
300,165,515,0.357,0.3919,0.672,0.093,0.235,Positive
301,6,7,0.1505,0.2994,0.571,0.143,0.286,Positive
302,5,5,0.3293,0.2868,0.8,0.0,0.2,Positive
305,9,10,0.1549,0.3705,0.4,0.3,0.3,Positive
307,5,5,0.4477,0.3349,0.8,0.0,0.2,Positive
318,5,6,0.0726,0.5617,0.5,0.333,0.167,Positive
320,5,5,0.1291,0.5346,0.4,0.4,0.2,Positive
333,5,5,0.2719,0.3749,0.6,0.2,0.2,Positive
334,5,5,0.3307,0.7226,0.6,0.2,0.2,Positive
340,86,143,0.1824,0.4811,0.51,0.238,0.252,Positive
341,5,5,0.1197,0.3139,0.4,0.2,0.4,Positive
342,5,5,-0.2065,0.4513,0.2,0.4,0.4,Negative
343,5,5,0.4215,0.417,0.6,0.0,0.4,Positive
346,5,5,-0.1274,0.2848,0.0,0.2,0.8,Negative
347,5,5,-0.0886,0.6861,0.2,0.6,0.2,Negative
349,10,12,0.0727,0.4732,0.417,0.25,0.333,Positive
350,5,5,0.7505,0.2018,1.0,0.0,0.0,Positive
356,5,5,-0.1486,0.3323,0.0,0.2,0.8,Negative
357,5,5,0.2328,0.3865,0.4,0.0,0.6,Positive
365,5,6,0.0706,0.6334,0.5,0.333,0.167,Positive
366,5,5,0.341,0.6112,0.6,0.2,0.2,Positive
367,5,5,0.2429,0.3824,0.6,0.2,0.2,Positive
368,5,5,0.1909,0.4269,0.2,0.0,0.8,Positive
370,5,5,0.0447,0.4206,0.2,0.2,0.6,Neutral
384,5,5,-0.0299,0.5191,0.4,0.4,0.2,Neutral
386,5,5,-0.014,0.3368,0.2,0.2,0.6,Neutral
389,6,8,0.0301,0.1969,0.25,0.125,0.625,Neutral
391,5,5,0.0616,0.2194,0.2,0.2,0.6,Positive
392,5,5,0.005,0.4586,0.4,0.6,0.0,Neutral
393,13,19,0.3277,0.4072,0.737,0.105,0.158,Positive
394,5,5,0.3361,0.4245,0.6,0.2,0.2,Positive
395,5,5,-0.29,0.4178,0.2,0.6,0.2,Negative
396,5,5,0.0914,0.4577,0.4,0.2,0.4,Positive
