community,n_users,n_posts,mean_sentiment,std_sentiment,pct_positive,pct_negative,pct_neutral,sentiment_label,polarized
0,5,6,0.1572,0.637,0.5,0.167,0.333,Positive,False
1,7,8,0.08,0.4141,0.5,0.125,0.375,Positive,False
2,164,290,0.0658,0.4592,0.4,0.29,0.31,Positive,False
3,6,6,0.0417,0.41,0.5,0.333,0.167,Neutral,False
4,6,8,0.2178,0.5758,0.5,0.375,0.125,Positive,False
5,5,6,0.0922,0.4266,0.333,0.333,0.333,Positive,False
6,10,13,-0.0339,0.4874,0.385,0.385,0.231,Neutral,False
8,7,8,0.1038,0.6559,0.5,0.375,0.125,Positive,False
9,6,6,0.2777,0.5823,0.5,0.167,0.333,Positive,True
10,18,22,0.2324,0.4311,0.455,0.136,0.409,Positive,False
11,6,6,0.0436,0.4699,0.333,0.5,0.167,Neutral,False
12,71,114,0.0616,0.4485,0.404,0.307,0.289,Positive,False
13,154,238,0.1189,0.5079,0.487,0.294,0.218,Positive,False
14,6,6,0.1505,0.6584,0.5,0.333,0.167,Positive,False
15,29,37,0.0907,0.479,0.432,0.324,0.243,Positive,False
16,85,147,0.1479,0.4685,0.469,0.224,0.306,Positive,False
17,6,6,-0.124,0.3716,0.167,0.333,0.5,Negative,False
18,6,6,-0.3087,0.5823,0.167,0.833,0.0,Negative,True
19,85,132,0.0778,0.4819,0.394,0.318,0.288,Positive,False
21,7,8,-0.1042,0.5361,0.25,0.625,0.125,Negative,False
22,70,105,-0.0133,0.4732,0.324,0.352,0.324,Neutral,False
23,5,6,0.189,0.5789,0.667,0.333,0.0,Positive,False
24,6,6,0.152,0.6376,0.5,0.333,0.167,Positive,False
26,87,134,-0.0251,0.564,0.403,0.381,0.216,Neutral,False
27,84,113,0.066,0.4291,0.416,0.336,0.248,Positive,False
28,139,236,0.1334,0.4306,0.466,0.246,0.288,Positive,False
29,100,178,0.1074,0.4224,0.455,0.27,0.275,Positive,False
31,6,6,-0.128,0.2026,0.0,0.333,0.667,Negative,False
32,28,40,-0.0087,0.5512,0.4,0.475,0.125,Neutral,False
34,75,129,0.1788,0.4839,0.473,0.287,0.24,Positive,False
35,10,12,0.2782,0.4174,0.583,0.167,0.25,Positive,True
36,6,6,-0.2864,0.2642,0.0,0.667,0.333,Negative,True
38,5,6,0.1815,0.4813,0.333,0.333,0.333,Positive,False
39,6,6,0.1575,0.3881,0.333,0.167,0.5,Positive,False
43,12,17,0.3966,0.3866,0.706,0.118,0.176,Positive,True
44,5,6,-0.2443,0.3602,0.167,0.5,0.333,Negative,False
46,157,289,0.0871,0.4347,0.429,0.277,0.294,Positive,False
47,41,72,0.0301,0.431,0.389,0.278,0.333,Neutral,False
51,5,6,-0.2568,0.5192,0.167,0.667,0.167,Negative,True
52,5,6,-0.2115,0.478,0.167,0.5,0.333,Negative,False
53,6,6,-0.0814,0.6392,0.333,0.5,0.167,Negative,False
54,5,5,0.166,0.1911,0.6,0.0,0.4,Positive,False
58,14,20,0.1465,0.5694,0.55,0.35,0.1,Positive,False
59,7,8,-0.0406,0.4393,0.25,0.375,0.375,Neutral,False
63,6,6,0.181,0.4287,0.5,0.333,0.167,Positive,False
65,5,6,-0.0034,0.3803,0.333,0.5,0.167,Neutral,False
67,6,6,0.1186,0.5039,0.667,0.167,0.167,Positive,False
71,136,227,0.0812,0.4852,0.454,0.308,0.238,Positive,False
73,83,128,0.0442,0.4659,0.469,0.32,0.211,Neutral,False
75,5,6,-0.0355,0.7212,0.333,0.5,0.167,Neutral,False
77,5,6,0.7701,0.1369,1.0,0.0,0.0,Positive,True
82,5,6,0.3587,0.399,0.667,0.167,0.167,Positive,True
83,102,166,0.0856,0.4511,0.398,0.277,0.325,Positive,False
86,5,6,0.2341,0.406,0.333,0.333,0.333,Positive,False
87,80,109,0.0744,0.454,0.431,0.321,0.248,Positive,False
88,123,253,0.1313,0.4621,0.474,0.265,0.261,Positive,False
89,6,6,-0.1119,0.1817,0.0,0.333,0.667,Negative,False
92,53,92,0.0508,0.5625,0.457,0.413,0.13,Positive,False
93,6,6,0.2908,0.3099,0.667,0.0,0.333,Positive,True
94,108,175,-0.001,0.4608,0.314,0.389,0.297,Neutral,False
95,15,17,0.2619,0.4739,0.412,0.176,0.412,Positive,True
96,6,6,-0.0091,0.4598,0.333,0.333,0.333,Neutral,False
98,166,248,0.0697,0.4917,0.448,0.323,0.23,Positive,False
99,6,6,0.3,0.6544,0.5,0.333,0.167,Positive,True
100,6,6,0.2666,0.595,0.667,0.333,0.0,Positive,True
101,6,6,-0.3696,0.3184,0.0,0.667,0.333,Negative,True
102,6,6,0.0772,0.3451,0.5,0.333,0.167,Positive,False
103,108,187,0.0988,0.4341,0.39,0.246,0.364,Positive,False
104,96,150,0.0569,0.4888,0.407,0.313,0.28,Positive,False
105,5,6,-0.1509,0.4858,0.167,0.5,0.333,Negative,False
106,6,7,-0.0695,0.5717,0.143,0.286,0.571,Negative,False
107,9,10,0.3895,0.4025,0.6,0.0,0.4,Positive,True
108,6,6,-0.0348,0.3332,0.5,0.167,0.333,Neutral,False
109,6,6,0.1015,0.5391,0.333,0.167,0.5,Positive,False
110,6,6,-0.0576,0.339,0.167,0.167,0.667,Negative,False
111,6,6,0.2352,0.621,0.667,0.333,0.0,Positive,False
112,6,6,-0.1316,0.3588,0.167,0.5,0.333,Negative,False
113,5,7,0.1184,0.6456,0.286,0.286,0.429,Positive,False
114,5,6,0.2785,0.4374,0.333,0.0,0.667,Positive,True
115,5,8,0.4827,0.5323,0.875,0.125,0.0,Positive,True
116,5,6,-0.1086,0.4023,0.167,0.5,0.333,Negative,False
117,5,6,0.1009,0.602,0.5,0.333,0.167,Positive,False
118,5,6,0.0877,0.515,0.333,0.167,0.5,Positive,False
119,6,6,0.2046,0.2673,0.5,0.0,0.5,Positive,False
120,97,200,0.091,0.5018,0.455,0.3,0.245,Positive,False
121,5,6,0.2574,0.5489,0.667,0.333,0.0,Positive,True
122,6,6,0.173,0.6247,0.5,0.167,0.333,Positive,False
