node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community,role,role_score
UC_iEmYXdZJvjxdUMehwSXqw,0.0,1.0,0.0,0.045942877307312016,6.370018466485825e-05,0.0,0.6589076068226326,-7.175625633178992e-21,0,296,296,300,Hub,0.8
UCdvk5SpMBvmeti1l-ROqxMA,0.45454545454545453,0.0033783783783783786,1.0197838058331634e-06,0.025645661190594485,0.00025842783477842996,0.0,1.046296970617529e-19,1.3591917092321019e-15,5,1,1,762,Bridge,0.6645067085947569
UCsDnfbANneHsk-TjjNJ2nEA,0.2727272727272727,0.010135135135135136,1.0197838058331634e-06,0.0006674267916237937,0.00022448582021543901,0.0,2.143078478507968e-19,-2.783982134734185e-19,3,3,5,1166,Bridge,0.653262862940291
UCUmYDiIQ6DXh2AlJxtR8ldg,0.36363636363636365,0.0,0.0,0.04149030461855458,9.104098530465294e-05,0.0,0.0,0.010070382325533925,4,0,4,300,Authority,0.5318181818181817
UCojlzx8ssR9oHtJYIimWJcw,0.36363636363636365,0.0,0.0,0.04130530401603836,0.00011783859122974975,0.0,0.0,0.010070277441045397,4,0,1,300,Authority,0.5318145365175568
UCkOfEMUKI7fyiSd0BONX7KQ,0.5454545454545454,0.0,0.0,0.044136079359910055,0.00022525529038902795,0.0,0.0,0.006868921237026816,6,0,2,300,Authority,0.5114592647454527
UCJX_Y16sINsDKl5V1xpx28A,1.0,0.0,0.0,0.035409133767128634,0.0003675710226581703,0.0,0.0,6.392419659527027e-10,11,0,0,180,Authority,0.5000000222170998
UCyTaAapAsWZJUO7awyU84Tw,1.0,0.0,0.0,0.03365052227190121,0.0004522654705787617,0.0,0.0,1.510696125267111e-13,11,0,0,215,Authority,0.5000000000052506
UCT8eAIzLq-7wKlExSRkZKYQ,0.9090909090909091,0.0033783783783783786,0.0,0.04198216274632985,0.0004500968450077619,0.0,2.3252030356100893e-10,1.162343515572489e-05,10,1,1,765,Authority,0.45494943149220757
UCvBeoS2I8B5GqkSr-wXR_Qg,0.9090909090909091,0.0,0.0,0.038084578269125466,0.0005512035518994902,0.0,0.0,3.8891196503296115e-08,10,0,0,180,Authority,0.454546806223905
UCMp2nBttrLi0DV_vsqyqNZg,0.9090909090909091,0.0,0.0,0.03210100920593325,0.000525133453016457,0.0,0.0,4.704948428285448e-09,10,0,0,261,Authority,0.45454561806774174
UCc8q4B1bj-668LMHyNXnTxQ,0.9090909090909091,0.0,0.0,0.03914473101966383,0.0008183800247760887,0.0,0.0,3.694380369358293e-10,10,0,0,180,Authority,0.4545454673854153
UC9IBMUelj4A5sTAdprrTp4Q,0.9090909090909091,0.0,0.0,0.030729325466109274,0.0005299785277615424,0.0,0.0,3.38949596870842e-12,10,0,0,690,Authority,0.45454545466325785
UCLtNjWXrnzKDnNtdnb-ymJQ,0.9090909090909091,0.0,0.0,0.025289273678522094,0.0004924618794664068,0.0,0.0,1.2864492501935094e-14,10,0,0,264,Authority,0.45454545454590173
UCN5zgUMf3dXwWQ1I7tf4WiQ,0.9090909090909091,0.0,0.0,0.0010196798205363517,0.0005996523031667941,0.0,0.0,2.0677946520619067e-19,10,0,0,52,Authority,0.45454545454545464
UCgWUpf4xJLoQ9Ld5gMziN6Q,0.9090909090909091,0.0,0.0,0.0008180098115858287,0.0004120690616911166,0.0,0.0,4.3182907051690435e-19,10,0,0,402,Authority,0.45454545454545464
UCoPutfg6DA5NNhmG5eybLhQ,0.9090909090909091,0.0,0.0,0.0010196798205363517,0.0005996523031667941,0.0,0.0,5.047494176831771e-21,10,0,0,879,Authority,0.45454545454545464
UCODvGIsNgS1d5wXvtMphzYA,0.45454545454545453,0.0033783783783783786,5.098919029165817e-07,0.024139558156478693,0.0004993226070257973,0.0,5.665683192904481e-18,1.662400628921524e-19,5,1,1,762,Bridge,0.4443070290233053
UC8vG7hojzgFpgrSXBFAXnDQ,0.8181818181818182,0.0,0.0,0.0008419641946714446,0.0004745968088496758,0.0,0.0,1.5802807714715275e-19,9,0,1,533,Authority,0.4090909090909092
UCMeR-HrPVfwzR9ojssm9dXA,0.8181818181818182,0.0033783783783783786,0.0,0.014331023119930938,0.0004299341323078478,0.0,-1.537746556921161e-20,-1.4740680502085943e-19,9,1,1,205,Authority,0.4090909090909092
UCos0XU_PK3z48BbimWA-dcw,0.8181818181818182,0.0,0.0,0.023219646650437707,0.00033933270275156817,0.0,0.0,-1.889968591838694e-18,9,0,1,530,Authority,0.40909090909090917
UCQ5pD29_kjJpyAqd_f0GuDQ,0.45454545454545453,0.0033783783783783786,5.098919029165817e-07,0.021178157994118707,0.0003781221883017307,0.0,-3.3042582078249474e-20,-2.1464296537684643e-19,5,1,1,190,Bridge,0.40415741448404485
UCGQmDThD_mO_C4djoEFTcRA,0.5454545454545454,0.0,0.0,0.04484343475059235,8.710584137150811e-05,0.0,0.0,0.0036084296933746865,6,0,4,765,Authority,0.3981396306552206
UCpvuPfZUX19hphuGYd7wCmg,0.5454545454545454,0.0,0.0,0.04146302562196633,0.00018893674388687593,0.0,0.0,0.0034008029886952954,6,0,0,680,Authority,0.3909234849033825
UCzDrEm1gInrbIdJNhBCRNZQ,0.5454545454545454,0.0,0.0,0.04137827053501889,0.00030505970289562874,0.0,0.0,0.0034004065373325373,6,0,0,764,Authority,0.39090970608421954
UCx9GaRXpCmfTIigd33P2kog,0.45454545454545453,0.0033783783783783786,5.098919029165817e-07,0.0333690568862702,0.0002812336915862323,0.0,2.5014082110090113e-21,3.942674477184363e-12,5,1,1,180,Bridge,0.372061520448629
UC_eF-uSD0AT0LDyXKYsGZJg,0.7272727272727273,0.006756756756756757,0.0,0.04248031888234257,0.000357506699328875,0.0,2.5011682941406156e-15,7.359534497435544e-05,8,2,4,690,Authority,0.366194198076841
UCWpwmYw00eLI-X2Vjplb5xw,0.45454545454545453,0.0033783783783783786,5.098919029165817e-07,0.021305846672479256,0.0002602159614489014,0.0,-8.166872267299347e-20,3.2445305040959843e-20,5,1,1,530,Bridge,0.3650990547048001
UCLO8RqJ9P4FzyI3JY4hlXmQ,0.7272727272727273,0.0,0.0,0.0378184184016205,0.00035648848208155324,0.0,0.0,1.0962158350813104e-07,8,0,0,272,Authority,0.36364017357654155
UCE50jDkj8tm-dt26FtHMSjw,0.7272727272727273,0.0,0.0,0.0008420581743784065,0.00040670954050609723,0.0,0.0,-2.95117162328507e-19,8,0,0,393,Authority,0.36363636363636376
UCBvS_-Ywu_28VejXdRCIdTQ,0.45454545454545453,0.0033783783783783786,5.098919029165817e-07,0.04131467100613951,0.0002514644910454351,0.0,0.002133205559920372,0.003400264767130286,5,1,1,300,Bridge,0.36219998746518217
UC7zGmhm8b0GRSnfS4nCVDZA,0.5454545454545454,0.0033783783783783786,5.098919029165817e-07,0.026727991201067038,0.00023788462317798743,0.0,6.842993927855789e-20,7.813856175956205e-15,6,1,1,272,Bridge,0.3577014348519819
UCdN3q-sDy_XYrV7JKISL4bQ,0.36363636363636365,0.006756756756756757,5.098919029165817e-07,0.004527488937579291,0.00022582570051169387,0.0,-1.3933684612180047e-19,-4.361970838199703e-19,4,2,3,340,Bridge,0.3537067201314601
UCr9ma8iMSBHUaJBQZtArEBg,0.45454545454545453,0.006756756756756757,5.098919029165817e-07,0.0005019962193409731,0.00022448582021543901,0.0,-6.536263519519713e-20,7.070148785742577e-20,5,2,2,1181,Bridge,0.35326286294029097
UCmZvQ6VHEXwvdYOV0y8_aCg,0.45454545454545453,0.0,0.0,0.041552340299560536,0.00020398121470842863,0.0,0.0,0.0034462001580048544,5,0,0,300,Authority,0.3470467354792875
UCCs47uX_VGmb_kQWDZ4e9fw,0.45454545454545453,0.0,0.0,0.04134905301408833,0.0002330473376517386,0.0,0.0,0.0034335776264580262,5,0,0,300,Authority,0.34660803455428013
UCgFGn7JJU3XcZJiST2uIYXw,0.45454545454545453,0.0,0.0,0.04135113861143596,0.0002866425495019322,0.0,0.0,0.003411416808140924,5,0,0,300,Authority,0.3458378268143695
UCA3X6KRCSBSTxbgDZ0Z3LnA,0.45454545454545453,0.0,0.0,0.04135531043736528,0.00022474534110747667,0.0,0.0,0.003400554195558109,5,0,0,300,Authority,0.345460292547935
UCa5EipMWxSChoc4YFV0ykKw,0.45454545454545453,0.0,0.0,0.041566034127326755,0.0002125582472796206,0.0,0.0,0.003400480665771743,5,0,0,300,Authority,0.34545773699200905
UCvuJW7BuoOUXaxRe8ttCh9Q,0.45454545454545453,0.0,0.0,0.04131154820409823,0.0002514644910454351,0.0,0.0,0.003400335252078416,5,0,0,300,Authority,0.3454526830833272
