node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
sanders.senate.gov,1.0,0.0,0.0,0.24,0.15321731242580233,0.0,-0.0,0.9999999999999993,12,0,2,11
did:plc:uybkf2awme34ko4lfkezerad,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-2.513737170094569e-17,1,0,0,7
did:plc:ldf3lvbhbhdg3w7ds6wphtuw,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-2.6496049909172166e-17,1,0,0,9
did:plc:qvgowosfeq5igmz4dfudabzd,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-1.1418362314343247e-17,1,0,0,1
did:plc:twasya42lpacrrncfhcrbjyv,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-2.4522800697780433e-18,1,0,0,12
did:plc:xgsysfc6hrwpf5nna5fxmj5c,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,2.5225102843280652e-17,1,0,0,8
did:plc:oogx5uk7egcpeavtomox43wn,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,4.0555445975560086e-17,1,0,0,6
did:plc:upw5n2uwhzubjajdtqaufsek,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-9.70033008953015e-18,1,0,0,3
did:plc:wl276kckbig47st6l62qcugv,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,2.5397342695224626e-17,1,0,0,0
did:plc:hwttpnc2pznc4uqpwblk3c64,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,3.360467424490743e-17,1,0,0,4
did:plc:kx375dszrbvqtu7o4xxxmojn,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,8.666200506839963e-18,1,0,0,5
did:plc:o7htvbjamlcv6dcr4vbdwy2c,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-2.7589580238213958e-17,1,0,0,2
did:plc:u6bpr5uyeazax263qjjkzp2g,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-2.639019927782058e-20,1,0,0,14
did:plc:nx7znvoex7ev3wcxn3tipovm,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,2.4919228170158725e-17,1,0,0,14
did:plc:3hmaw45pkhexf2wy5dwvlr7j,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-4.868228007231816e-17,1,0,0,2
