node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
did:plc:wl276kckbig47st6l62qcugv,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,2.5397342695224626e-17,1,0,0,0
athenaforall.bsky.social,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,2.1164452246020535e-18,4.180211142539527e-18,0,1,1,0
did:plc:qvgowosfeq5igmz4dfudabzd,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-1.1418362314343247e-17,1,0,0,1
nwu.org,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-9.51530192861938e-19,2.315752906882442e-18,0,1,1,1
did:plc:3hmaw45pkhexf2wy5dwvlr7j,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-4.868228007231816e-17,1,0,0,2
did:plc:o7htvbjamlcv6dcr4vbdwy2c,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-2.7589580238213958e-17,1,0,0,2
tnewmsblues.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,-6.355988359211014e-18,-0.0,0,2,1,2
did:plc:upw5n2uwhzubjajdtqaufsek,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-9.70033008953015e-18,1,0,0,3
powerfromspace1.mstdn.social.ap.brid.gy,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-8.083608407941798e-19,2.3411111057112758e-18,0,1,1,3
did:plc:hwttpnc2pznc4uqpwblk3c64,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,3.360467424490743e-17,1,0,0,4
maxplanck.de,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,2.8003895204089543e-18,3.1871374982056403e-18,0,1,1,4
did:plc:kx375dszrbvqtu7o4xxxmojn,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,8.666200506839963e-18,1,0,0,5
did:plc:yc54nj2zlnqrdotewpkbrauy,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-1.1640527023216138e-17,1,0,0,5
canadianhammer.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,-2.47860543031348e-19,-1.0208114327234356e-18,0,2,1,5
did:plc:oogx5uk7egcpeavtomox43wn,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,4.0555445975560086e-17,1,0,0,6
blank.org,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,3.3796204979633427e-18,-2.111226752629509e-18,0,1,1,6
did:plc:uybkf2awme34ko4lfkezerad,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-2.513737170094569e-17,1,0,0,7
dedicto.zeroes.ca.ap.brid.gy,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-2.0947809750788088e-18,1.4753176929094584e-17,0,1,1,7
did:plc:xgsysfc6hrwpf5nna5fxmj5c,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,2.5225102843280652e-17,1,0,0,8
davidcrespo.bsky.social,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,2.1020919036067223e-18,1.72382333038001e-17,0,1,1,8
did:plc:ldf3lvbhbhdg3w7ds6wphtuw,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-2.6496049909172166e-17,1,0,0,9
voxeu.org,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-2.208004159097682e-18,2.1433966789363862e-17,0,1,1,9
did:plc:36g54nwqllmmjyc7mbija3gn,0.08333333333333333,0.0,0.0,0.036,0.01755582057138983,0.0,-0.0,6.569119476950427e-17,1,0,0,10
did:plc:xinct4q525cyr2nmlwks5pod,0.08333333333333333,0.0,0.0,0.036,0.01755582057138983,0.0,-0.0,5.4420927443601115e-17,1,0,0,10
did:plc:bybhkdeow67zttcythrzu4p6,0.08333333333333333,0.0,0.0,0.036,0.01755582057138983,0.0,-0.0,5.396877842073831e-17,1,0,0,10
shoshanade.bsky.social,0.0,0.5,0.0,0.06,0.013679777946978047,0.0,1.4506741719486986e-17,1.6117607312493784e-18,0,3,1,10
sanders.senate.gov,1.0,0.0,0.0,0.24,0.15321731242580233,0.0,-0.0,0.9999999999999993,12,0,2,11
gordumb.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-4.2633969160404344e-18,0,1,1,11
seanofthesea.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,2.4660936851993362e-17,0,1,1,11
jusmom.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,1.238853623520994e-17,0,1,1,11
joey-pererez.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,2.5718456766715197e-18,0,1,1,11
did:plc:twasya42lpacrrncfhcrbjyv,0.08333333333333333,0.0,0.0,0.02,0.0253079058202134,0.0,-0.0,-2.4522800697780433e-18,1,0,0,12
yellowstoneyoga.bsky.social,0.0,0.16666666666666666,0.0,0.02,0.013679777946978047,0.0,-2.0435667248150373e-19,-5.269491095797278e-19,0,1,1,12
igorsushko.bsky.social,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,1.0285321096041557e-16,1,0,1,13
did:plc:weypikbrwodr2fsanloqjx6s,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,9.131857799611596e-17,1,0,0,13
did:plc:6pwit4ctv4egvys3qyqmgbi6,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,7.921784766896588e-17,1,0,0,13
did:plc:v2cnvepyoukt3cpbzxh5sviv,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,1.2907754800360367e-16,1,0,0,13
did:plc:5o6k7jvowuyaquloafzn3cfw,0.08333333333333333,0.0,0.0,0.06545454545454545,0.01561779925918394,0.0,-0.0,9.905303620040714e-17,1,0,0,13
did:plc:u6bpr5uyeazax263qjjkzp2g,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,-2.639019927782058e-20,1,0,0,14
did:plc:nx7znvoex7ev3wcxn3tipovm,0.08333333333333333,0.0,0.0,0.026666666666666665,0.019493841883595726,0.0,-0.0,2.4919228170158725e-17,1,0,0,14
lumincity.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,2.0744031642400766e-18,1.539642251182328e-17,0,2,1,14
