node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
UCmJAeNO0MIqdO3F-bse1UiA,0.45454545454545453,0.0,0.0,0.00048088482808367395,0.0003305139051177268,0.0,0.0,1.6522840197136373e-19,5,0,1,0
UCn9CJkcXl9FzYTDKzE4iMdA,0.0,0.006756756756756757,0.0,0.000274791330333528,7.554017998397095e-05,0.0,2.0878273954868652e-19,0.0,0,2,2,0
UCUKv4NGCcu0hF5UTIV_53zg,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,1.0439136977434326e-19,-5.170597819007364e-21,0,1,1,0
UCQnf370oPLeLyhkw9P50vfQ,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,1.0439136977434326e-19,2.800246933205876e-20,0,1,1,0
UCbKCW014DGRMmM5a2EokEKw,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,1.0439136977434326e-19,1.0578739751594212e-19,0,1,1,0
UCpN3YeWeuPSFXUVuEhUpV7w,0.45454545454545453,0.0,0.0,0.0006182804932504379,0.00036238562075944635,0.0,0.0,2.855601528782368e-19,5,0,1,1
UCHlpG6e83-84PsZU0hKJ52Q,0.09090909090909091,0.0,0.0,0.0002885308968502044,0.00010741189562569042,0.0,0.0,2.4215620519643783e-19,1,0,1,1
UC7k1gx_TRNoJTBkaJXwUBJw,0.0,0.0033783783783783786,0.0,0.0003606636210627555,7.554017998397095e-05,0.0,1.8041701763293989e-19,-6.514836255106724e-20,0,1,1,1
UCF7A_joUNhZf5dQ7-mLblZA,0.0,0.0033783783783783786,0.0,0.0003606636210627555,7.554017998397095e-05,0.0,1.8041701763293989e-19,-1.2296893546861982e-21,0,1,1,1
UCnmMA1y9m3omXPXpCd_nYOA,0.0,0.0033783783783783786,0.0,0.0003606636210627555,7.554017998397095e-05,0.0,1.8041701763293989e-19,-5.212749422359251e-22,0,1,1,1
